dataset,metric,threshold,similarity
pvivax,Degree,0.54,0.4301075268817205
pvivax,Degree,0.55,0.46082949308755766
pvivax,Degree,0.56,0.49155145929339483
pvivax,Degree,0.57,0.522273425499232
pvivax,Degree,0.58,0.7066052227342551
pvivax,Degree,0.59,0.8294930875576038
pvivax,Degree,0.6,0.860215053763441
pvivax,Degree,0.61,0.860215053763441
pvivax,Degree,0.62,0.8294930875576038
pvivax,Degree,0.63,0.8294930875576038
pvivax,Degree,0.64,0.8294930875576038
pvivax,Degree,0.65,0.8294930875576038
pvivax,Degree,0.66,0.860215053763441
pvivax,Degree,0.72,1.0
pvivax,Degree,0.73,1.0
pvivax,Degree,0.74,1.0
pvivax,Degree,0.75,1.0
pvivax,Degree,0.76,1.0
pvivax,Degree,0.77,1.0
pvivax,Degree,0.78,1.0
pvivax,Degree,0.71,1.0
pvivax,Degree,0.79,1.0
pvivax,Degree,0.8,1.0
pvivax,Degree,0.81,1.0
pvivax,Degree,0.82,1.0
pvivax,Degree,0.7,0.9831029185867897
pvivax,Degree,0.83,1.0
pvivax,Degree,0.67,0.8909370199692781
pvivax,Degree,0.69,1.0
pvivax,Degree,0.68,1.0
pvivax,Degree,0.84,1.0
pvivax,Degree,0.85,1.0
pvivax,Degree,0.86,0.9831029185867897
pvivax,Degree,0.87,0.9523809523809524
pvivax,Degree,0.99,0.6758832565284179
pvivax,Degree,0.88,0.8909370199692781
pvivax,Degree,0.98,0.6451612903225807
pvivax,Degree,0.95,0.7373271889400922
pvivax,Degree,0.97,0.6451612903225807
pvivax,Degree,0.96,0.7373271889400922
pvivax,Degree,0.94,0.7373271889400922
pvivax,Degree,0.93,0.7373271889400922
pvivax,Degree,0.92,0.7373271889400922
pvivax,Degree,0.91,0.7987711213517665
pvivax,Degree,0.19,0.09216589861751152
pvivax,Degree,0.9,0.8294930875576038
pvivax,Degree,0.89,0.8294930875576038
pvivax,Degree,0.18,0.09216589861751152
pvivax,Degree,0.17,0.09216589861751152
pvivax,Degree,0.16,0.09216589861751152
pvivax,Degree,0.15,0.09216589861751152
pvivax,Ego1Edges,0.2,0.0
pvivax,Ego1Edges,0.21,0.0
pvivax,Ego1Edges,0.22,0.0
pvivax,Ego1Edges,0.23,0.0
pvivax,Ego1Edges,0.24,0.0
pvivax,Ego1Edges,0.25,0.0
pvivax,Ego1Edges,0.26,0.0
pvivax,Ego1Edges,0.27,0.0
pvivax,Ego1Edges,0.28,0.0
pvivax,Ego1Edges,0.29,0.0
pvivax,Ego1Edges,0.3,0.0
pvivax,Ego1Edges,0.31,0.0
pvivax,Ego1Edges,0.32,0.0
pvivax,Ego1Edges,0.33,0.030721966205837177
pvivax,Ego1Edges,0.34,0.030721966205837177
pvivax,Ego1Edges,0.35,0.030721966205837177
pvivax,Ego1Edges,0.36,0.061443932411674354
pvivax,Ego1Edges,0.37,0.061443932411674354
pvivax,Ego1Edges,0.38,0.061443932411674354
pvivax,Ego1Edges,0.39,0.061443932411674354
pvivax,Ego1Edges,0.4,0.061443932411674354
pvivax,Ego1Edges,0.41,0.18433179723502305
pvivax,Ego1Edges,0.42,0.21505376344086025
pvivax,Ego1Edges,0.43,0.30721966205837176
pvivax,Ego1Edges,0.44,0.39938556067588327
pvivax,Ego1Edges,0.45,0.4301075268817205
pvivax,Ego1Edges,0.46,0.4301075268817205
pvivax,Ego1Edges,0.47,0.49155145929339483
pvivax,Ego1Edges,0.48,0.5529953917050692
pvivax,Ego1Edges,0.49,0.7680491551459294
pvivax,Ego1Edges,0.5,0.7680491551459294
pvivax,Ego1Edges,0.51,0.7987711213517665
pvivax,Ego1Edges,0.52,0.8294930875576038
pvivax,Ego1Edges,0.53,0.8294930875576038
pvivax,Ego1Edges,0.54,0.8909370199692781
pvivax,Ego1Edges,0.55,0.9216589861751153
pvivax,Ego1Edges,0.56,0.9523809523809524
pvivax,Ego1Edges,0.57,0.9523809523809524
pvivax,Ego1Edges,0.58,0.9523809523809524
pvivax,Ego1Edges,0.59,0.9216589861751153
pvivax,Ego1Edges,0.6,0.9216589861751153
pvivax,Ego1Edges,0.61,0.9216589861751153
pvivax,Ego1Edges,0.62,1.0
pvivax,Ego1Edges,0.63,1.0
pvivax,Ego1Edges,0.64,0.9831029185867897
pvivax,Ego1Edges,0.65,1.0
pvivax,Ego1Edges,0.66,1.0
pvivax,Ego1Edges,0.72,1.0
pvivax,Ego1Edges,0.73,1.0
pvivax,Ego1Edges,0.74,1.0
pvivax,Ego1Edges,0.75,1.0
pvivax,Ego1Edges,0.76,1.0
pvivax,Ego1Edges,0.77,1.0
pvivax,Ego1Edges,0.78,1.0
pvivax,Ego1Edges,0.71,1.0
pvivax,Ego1Edges,0.79,1.0
pvivax,Ego1Edges,0.8,0.9831029185867897
pvivax,Ego1Edges,0.81,0.9831029185867897
pvivax,Ego1Edges,0.82,0.9831029185867897
pvivax,Ego1Edges,0.7,1.0
pvivax,Ego1Edges,0.83,0.9523809523809524
pvivax,Ego1Edges,0.67,1.0
pvivax,Ego1Edges,0.69,1.0
pvivax,Ego1Edges,0.68,1.0
pvivax,Ego1Edges,0.84,0.9216589861751153
pvivax,Ego1Edges,0.85,0.9216589861751153
pvivax,Ego1Edges,0.86,0.9216589861751153
pvivax,Ego1Edges,0.87,0.9216589861751153
pvivax,Ego1Edges,0.99,0.860215053763441
pvivax,Ego1Edges,0.88,0.9216589861751153
pvivax,Ego1Edges,0.98,0.860215053763441
pvivax,Ego1Edges,0.95,0.8909370199692781
pvivax,Ego1Edges,0.97,0.860215053763441
pvivax,Ego1Edges,0.96,0.8909370199692781
pvivax,Ego1Edges,0.94,0.8909370199692781
pvivax,Ego1Edges,0.93,0.8909370199692781
